taskid,reviewerid,groupid,grade
11,7,18,9
11,7,35,9
11,8,37,9
11,8,72,6
11,9,47,8
11,9,72,9
11,10,17,5
11,10,48,9
11,11,56,10
11,14,19,8
11,14,63,9
11,15,6,9
11,15,12,9
11,16,1,10
11,16,65,8
11,17,19,6
11,17,30,0
11,19,15,8
11,19,44,10
11,20,37,10
11,20,58,7
11,21,7,8
11,21,75,10
11,22,40,9
11,22,75,9
11,23,17,9
11,23,53,10
11,24,2,10
11,24,12,10
11,25,47,10
11,25,72,9
11,26,4,10
11,26,53,10
11,27,58,5
11,27,71,8
11,28,1,10
11,28,2,10
11,29,50,10
11,29,61,10
11,30,3,9
11,30,79,10
11,31,53,8
11,31,67,8
11,33,36,9
11,33,79,10
11,35,41,10
11,35,73,7
11,38,42,9
11,38,67,10
11,39,2,9
11,39,20,10
11,40,25,10
11,40,58,10
11,41,10,9
11,41,38,8
11,42,58,8
11,43,47,8
11,43,53,10
11,45,7,6
11,45,32,8
11,46,29,6
11,46,36,8
11,47,52,9
11,47,57,5
11,48,30,2
11,48,58,7
11,49,32,10
11,49,78,10
11,50,3,9
11,51,21,5
11,51,74,8
11,52,71,6
11,52,77,5
11,54,8,9
11,54,42,8
11,55,19,8
11,55,26,10
11,56,31,7
11,58,70,9
11,58,73,5
11,59,14,4
11,59,42,8
11,61,26,10
11,61,67,10
11,62,11,9
11,62,22,9
11,63,74,8
11,63,79,10
11,64,22,9
11,64,33,4
11,65,1,9
11,65,64,5
11,66,5,6
11,66,61,10
11,67,76,3
11,68,15,8
11,68,22,8
11,70,15,8
11,70,20,8
11,71,22,10
11,71,28,10
11,72,8,10
11,72,25,9
11,74,39,10
11,74,62,9
11,75,21,5
11,75,70,6
11,76,34,10
11,76,64,6
11,77,34,8
11,77,54,1
11,78,45,7
11,78,75,9
11,79,30,2
11,79,51,10
11,80,7,8
11,82,2,9
11,82,55,8
11,83,23,9
11,83,68,3
11,84,56,8
11,85,25,9
11,85,38,7
11,86,6,9
11,86,15,7
11,87,33,4
11,87,41,10
11,88,20,9
11,88,56,7
11,89,10,7
11,89,41,10
11,90,31,7
11,90,32,10
11,91,14,6
11,91,57,10
11,92,20,10
11,92,34,10
11,93,6,9
11,93,44,9
11,96,40,7
11,96,78,7
11,97,24,8
11,97,71,9
11,99,52,8
11,99,60,10
11,100,43,9
11,100,74,8
11,101,26,7
11,101,54,7
11,102,10,8
11,102,23,9
11,103,12,8
11,103,29,4
11,105,52,10
11,105,79,10
11,106,6,7
11,106,36,7
11,107,39,10
11,107,68,2
11,108,28,9
11,108,44,9
11,109,7,6
11,109,74,6
11,110,51,6
11,110,52,8
11,111,68,4
